,DOI,filename,Material Name,Temperature (K),Equivalent CO2 Pressure (bar),Loading Estimate,Loading Units
177,10.1002/asia.201500509,10.1002asia.201500509.Isotherm3,NPC-6,293,0.00039849966442953024,0.013384892777502861,wt%
178,10.1002/asia.201500509,10.1002asia.201500509.Isotherm4,NOTT-101,293,0.00039849966442953024,0.00800375710982187,wt%
179,10.1002/cctc.201600840,10.1002cctc.201600840.Isotherm2,PDVBTT-1,273,0.00037129832214765105,0.0020988266159160025,mmol/g
180,10.1002/cctc.201600840,10.1002cctc.201600840.Isotherm3,PDVBTT-1,298,0.00040530000000000004,0.0007338015181332585,mmol/g
181,10.1002/ceat.201300046,10.1002ceat.201300046.isotherm1,CuBTC,308,0.00041890067114093963,0.0018707847807750825,mmol/g
182,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm13,Cu-BTC powder,308,0.00041890067114093963,0.0018441342226037652,mmol/g
183,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm14,Cu-BTC tablet,308,0.00041890067114093963,0.0017211998972386695,mmol/g
184,10.1002/ceat.201300046,10.1002ceat.201300046.isotherm2,CuBTC,308,0.00041890067114093963,0.0013041265201291289,mmol/g
185,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm26,Cu-BTC tablet,308,0.00041890067114093963,0.00091922592053759,mmol/g
186,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm27,Zeolite 13X,308,0.00041890067114093963,0.006717821521735773,mmol/g
187,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm28,Zn-DABCO,314,0.00042706107382550345,0.0004950184967183231,mmol/g
188,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm29,MIL-53(Al),303,0.00041210033557046984,0.0005228152117248323,mmol/g
189,10.1002/ceat.201300046,10.1002ceat.201300046.Isotherm30,AlPO4-11,308,0.00041890067114093963,0.00034259595253487873,mmol/g
190,10.1002/ceat.201400741,10.1002ceat.201400741.Isotherm2,NH2-MIL-53(Al),298,0.00040530000000000004,0.004154263049174601,mmol/g
191,10.1002/chem.200601534,10.1002chem.200601534.Isotherm6,[Zn3-(ntb)2]n,273,0.00037129832214765105,0.0012528562013431862,mmol/g
192,10.1002/chem.200801048,10.1002chem.200801048.isotherm1,Beta-[{Zn(F-pymo)2}n],273,0.00037129832214765105,0.00019144959993614685,mmol/g
193,10.1002/chem.200801048,10.1002chem.200801048.isotherm2,Beta-[{Co(F-pymo)2}n],273,0.00037129832214765105,0.0010384388908640197,mmol/g
194,10.1002/chem.200801048,10.1002chem.200801048.isotherm3,[{Cu(H-pymo)2}n],273,0.00037129832214765105,0.005614500251687017,mmol/g
